BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,50026329,夹克,19572,3309582.0
141282027,ACANU/阿肯诺,ACANU/阿肯诺,阿肯诺,Toread,300005 CH EQUITY,53844005,运动连身裙,1,62.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54294688,男士内衣专区,32255,2320174.900000003
149701480,A－OK/多喜爱,Dohia/多喜爱,多喜爱,Dohia home,002761 CH EQUITY,50036077,青少年家具,663,2024254.0
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,50106425,单鞋,43875,6381612.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54294681,秋衣秋裤,3681,328898.89999999997
80875,富安娜,Fuanna/富安娜,富安娜,Fuanna,002327 CH EQUITY,50067162,床垫,136,264933.0
4207334,雨洁,RACLEN/雨洁,雨洁,Lafang,603630 CH EQUITY,50026415,洗发水,3971,191962.20000000004
44618,REDDRAGONFLY/红蜻蜓,RED DRAGONFLY/红蜻蜓,红蜻蜓,Red Dragonfly,603116 CH EQUITY,55570026,坡跟靴,17,5513.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,51062008,化妆小工具,26699,265111.3000000001
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,51062007,扫把/簸箕/擦地拖鞋,1519,77968.20000000003
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,57578001,外套,25635,6292112.0
29462,Aokang/奥康,Aokang/奥康,奥康,Aokang,603001 CH EQUITY,52588013,工装鞋,70,24918.0
3472186,茶花,Chahua/茶花,茶花,Chahua,603615 CH EQUITY,201034001,其他餐饮用品,92,890.0
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,55036010,保暖套装,1568,180071.4
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,55036011,男士内裤,57127,3487259.8000000003
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54308281,其他儿童服饰,26,12707.3
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54308280,罩衣反穿衣,28390,724029.1000000003
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,55856044,棉T恤,32251,2694968.8000000003
107380,南极人,南极人,南极人,NanJi E-Commerce,002127 CH EQUITY,54290440,马夹,419,54632.0
798424353,碧云泉,Bewinch/碧云泉,碧云泉,KingClean Electric,603355 CH EQUITY,54298191,净水器,1011,4015535.0
8740641,MALING/梅林,Maling/梅林,梅林,Shanghai Maling,600073 CH EQUITY,54292477,粮油/米面/速食,40846,627699.3000000002
3305573,gf/高夫,gf/高夫,高夫,Shanghai Jahwa,600315 CH EQUITY,54296832,男香,1416,232224.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54288077,棉衣,77,32192.0
48481339,Hodo/红豆,Hodo/红豆,红豆,Hongdo,600400 CH EQUITY,54288078,衬衫,8358,1278054.0
29481,Erdos/鄂尔多斯,ERDOS/鄂尔多斯,鄂尔多斯,Eerduosi,600295 CH EQUITY,54288082,呢大衣,37,177816.0
29531,Youngor/雅戈尔,Youngor/雅戈尔,雅戈尔,Youngor,600177 CH EQUITY,56554001,直筒牛仔裤,271,83050.0
30655,Ronshen/容声,Ronshen/容声,容声,Hisense Kelon,000921 CH EQUITY,54294899,电热水壶,60175,6727037.96
45448,巴拉巴拉,BALABALA/巴拉巴拉,巴拉巴拉,Semir,002563 CH EQUITY,54686001,婴幼T恤,49655,3574500.0
30116,CARTELO/卡帝乐鳄鱼,Cartelo/卡帝乐鳄鱼,卡帝乐鳄鱼,NanJi E-Commerce,002127 CH EQUITY,50108600,羊绒衫,0,0.0
