BrandId,BrandName,Brand,Name,ProductName,Bloomberg Ticker,Category2Id,Category2Name,SalesUnit,SalesValue
67577352,皇氏乳业,皇氏乳业,皇氏乳业,Royal Group,002329 CH EQUITY,54990011,茶冲调,1274,57438.3
15674020,it michaa,It MICHAA,it michaa,Semir,002563 CH EQUITY,54306974,服饰配件,7,4629.0
15674020,it michaa,It MICHAA,it michaa,Semir,002563 CH EQUITY,54290107,女装,797,563462.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288528,碧玺戒指,0,0.0
3651711,KELA．CN/珂兰钻石,KELA/珂兰,KELA．CN/珂兰钻石,Gansu Gangtai,600687 CH EQUITY,54288535,祖母绿,4,9096.0
239680607,MarkorFurnishings/美克·美家,美克美家,MarkorFurnishings/美克·美家,Markor International,600337 CH EQUITY,54300815,相框/相框墙,0,0.0
3979123,lonkey/浪奇,高富力,lonkey/浪奇,Lonkey Industrial,000523 CH EQUITY,54302922,洗洁精,1491,18555.899999999998
223580545,WITHSONG/唯颂,With Song/唯颂,WITHSONG/唯颂,ELLASSAY,603808 CH EQUITY,54304819,女鞋,48,15627.0
15344032,minette,Minette,minette,Semir,002563 CH EQUITY,54290107,女装,15,8803.0
8295498,IRO,IRO ,IRO,ELLASSAY,603808 CH EQUITY,54304819,女鞋,0,0.0
8112283,zuo,Zuo,zuo,Hongdo,600400 CH EQUITY,54288726,T恤,13,1117.0
8112283,zuo,Zuo,zuo,Hongdo,600400 CH EQUITY,54288727,男T恤,13,1117.0
305928281,岛城鹏程,岛城鹏程,岛城鹏程,Shunxin Agriculture,000860 CH EQUITY,55036007,生鲜水果,160,7450.9
8295498,IRO,IRO ,IRO,ELLASSAY,603808 CH EQUITY,54306974,服饰配件,0,0.0
3469518,米莱,米莱彩宝,米莱,Gansu Gangtai,600687 CH EQUITY,54288528,碧玺戒指,110,194636.0
3469518,米莱,米莱彩宝,米莱,Gansu Gangtai,600687 CH EQUITY,54288523,珍珠项链,0,0.0
4536831,露露,Lolo/露露,露露,Chengde Lolo,000848 CH EQUITY,54290820,氨基酸,68,5433.200000000001
92530,GE/通用电气,GE Appliance,GE/通用电气,Haier,600690 CH EQUITY,54298141,生活电器,17,42777.0
26846034,明牌珠宝,明牌珠宝（MINGR 明）,明牌珠宝,Ming Jewelry,002574 CH EQUITY,54288523,珍珠项链,7,5460.0
4146697,Me&City,Me&City,Me&City,Metersbonwe,002269 CH EQUITY,54306974,服饰配件,0,0.0
